Date,Result,Score Tier,Reason,Target Kcal,Target Pro(g),Target Carb(g),Target Fat(g),Target Water(ml),Logs,Total Calories,Total Protein,Total Carbs,Total Fats,Pure Water (ml),Exercise Logged,Exercise Details
2026-04-05,Grey,score-0,"Off target across the board (calories lower than goal, low protein, carbs lower than goal, fats lower than goal, low hydration).",2500,150,295,80,4000,"Air-fried Steakhouse Fries | Chips | Choco Pops | Protein Puffs | Shrimp Meal",1282,65,181,30,0,No,None
2026-04-06,Grey,score-0,"Off target across the board (calories lower than goal, low protein, carbs lower than goal, fats lower than goal, low hydration).",2500,150,295,80,4000,"Snack | Banana | Steakhouse Fries | Fries and Mac & Cheese | Air-fried Potatoes & Pasta | McDonald's Medium Fries | Cookies & Cream Yogurt Drink | Cookies and Cream Yogurt Drink | Apple",1855,72,248,66,2000,Yes,"Treadmill (Speed 3, Incline 2) (-850kcal)"
2026-04-07,Red,score-neg-2,"Rough day. Issues with calories higher than goal, carbs higher than goal, fats higher than goal, low hydration. The only hit was protein goal met.",2500,150,295,80,4000,"Snack | Snack | Snack | Pasta, Salad, Curly Fries | Snack Food | Juhayna greek yogurt 2% (180g) | Pomme Frites (150g) | Chocolate Bites | Snack Puffs | Tuna Salad | Chocolate Bites | Snack Puffs | Rice and Grape Leaves | Oreos | Spicy Noodles | Mixed Berry Yogurt Drink | Hipro mixed berries (260g) | Kellogg's noodles (100g)",4451,195,669,110,1500,No,None
2026-04-08,Grey,score-0,"Off target across the board (calories lower than goal, low protein, carbs lower than goal, fats lower than goal, low hydration).",2500,150,295,80,4000,"Maltesers 37t (37g) | Hipro mixed berries (260g)",373,23,41,13,2000,No,None
2026-04-09,Green,score-pos-1,"Good outweighed the bad. Managed carbs on target, but had issues with calories lower than goal, low protein, fats lower than goal, low hydration.",2500,150,295,80,4000,"Ulker Dates Bar | Spaghetti | 2 Fries Sandwiches with Tahini | Snack Puffs | 72% Dark Chocolate Bar | Orange Juice Drink | Hipro mixed berries (260g)",1913,64,262,66,2000,No,None
2026-04-10,Grey,score-0,"Even split. Achieved calories on target, but offset by low protein, carbs higher than goal, fats lower than goal, low hydration.",2500,150,295,80,4000,"Feetir with Sugar and Vegetable Fillings | 3 Fries Sandwiches with Tahini",2620,74,447,64,0,No,None
2026-04-11,Green,score-pos-1,"Good outweighed the bad. Managed fats on target, but had issues with calories lower than goal, low protein, carbs lower than goal, low hydration.",2500,150,295,80,4000,"Saucisson (4 pcs) | Mortadella (3 slices) | Protein Toast Sandwiches with Honey | McDonald's Medium Fries | 3 Protein Toast Sandwiches | Snack Puffs | Vanilla Cookies with Chocolate Chips | Juhayna greek yogurt 2% (180g) | Snack Puffs",2005,109,219,76,2000,No,None
2026-04-12,Grey,score-0,"Even split. Achieved calories on target, but offset by low protein, carbs lower than goal, fats higher than goal, low hydration.",2500,150,295,80,4000,"Half Skimmed Milk (1 cup) | Snack Pack | protein crackers (70g) | Berry Flavored Carbonated Beverage | Tres Leches Cake | Roast Beef, Shrimp, and Casserole | Salmon Bites with Cream Cheese | Vanilla Cookies with Chocolate Chips | Juhayna greek yogurt 2% (180g)",2580,125,201,128,0,No,None
2026-04-13,Green,score-pos-1,"Good outweighed the bad. Managed fats on target, but had issues with calories lower than goal, low protein, carbs lower than goal, low hydration.",2500,150,295,80,4000,"Half Cream Milk (220g) | Choco Bites Cereal (76g) | Pomme Frites (295g) | Coffee and Banana Cake | Raw Salmon (2 slices) | Breakfast Plate with Eggs, Ham, Cheese, and Turkey",1931,101,190,82,0,No,None
2026-04-14,Green,score-pos-2,"Good outweighed the bad. Managed calories on target, fats on target, but had issues with low protein, carbs lower than goal, low hydration.",2500,150,295,80,4000,"Raw Salmon Slice | Sweet Potato, Eggs, Ham, Cheese | Pomme Frites (300g) | McDonald's Ice Cream Cone | Chicken Breast with Roz Bel Sha3reya | Hipro mixed berries (260g) | Apple",2180,131,237,74,2000,No,None
